,precision,recall,f1-score,support
0,0.9701492537313433,0.9701492537313433,0.9701492537313433,201.0
1,0.9914163090128756,1.0,0.9956896551724138,231.0
2,0.970873786407767,0.9615384615384616,0.966183574879227,208.0
accuracy,0.978125,0.978125,0.978125,0.978125
macro avg,0.977479783050662,0.9772292384232683,0.9773408279276614,640.0
weighted avg,0.978060804616859,0.978125,0.9780788967495418,640.0
