,precision,recall,f1-score,support
0,0.9900990099009901,0.9950248756218906,0.9925558312655087,201.0
1,1.0,1.0,1.0,231.0
2,0.9951690821256038,0.9903846153846154,0.9927710843373494,208.0
accuracy,0.9953125,0.9953125,0.9953125,0.9953125
macro avg,0.9950893640088646,0.9951364970021687,0.9951089718676194,640.0
weighted avg,0.995320421987851,0.9953125,0.9953126681664625,640.0
