,precision,recall,f1-score,support
0,0.9801980198019802,0.9850746268656716,0.9826302729528535,201.0
1,0.9913419913419913,0.9913419913419913,0.9913419913419913,231.0
2,0.9758454106280193,0.9711538461538461,0.9734939759036144,208.0
accuracy,0.9828125,0.9828125,0.9828125,0.9828125
macro avg,0.9824618072573302,0.982523488120503,0.9824887467328197,640.0
weighted avg,0.9828056990481657,0.9828125,0.9828053622679302,640.0
