,precision,recall,f1-score,support
0,0.8097165991902834,0.9950248756218906,0.8928571428571429,201.0
1,0.9870689655172413,0.9913419913419913,0.9892008639308856,231.0
2,0.9813664596273292,0.7596153846153846,0.8563685636856369,208.0
accuracy,0.9171875,0.9171875,0.9171875,0.9171875
macro avg,0.9260506747782845,0.9153274171930889,0.912808856824555,640.0
weighted avg,0.9295159235534596,0.9171875,0.9157724164514575,640.0
